params,mean_test_score,std_test_score,norm_type,descriptor_algo,keypoints_algo,k,classifier,dataset
"OrderedDict({'max_depth': 25, 'min_samples_split': 11, 'n_estimators': 440})",0.4090317862772952,0.027553429435568,32,sift,dense,100.0,rf,stl10
"OrderedDict({'n_neighbors': 14, 'p': 1, 'weights': 'distance'})",0.3530027033021045,0.0031090093531744,eq_hist,sift,dense,200.0,knn,stl10
"OrderedDict({'max_depth': 32, 'min_samples_split': 3, 'n_estimators': 500})",0.3390036743330156,0.0161480067831983,32,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 32, 'min_samples_split': 3, 'n_estimators': 486})",0.3379996763230296,0.0085848473594436,32,none,none,,rf,stl10
"OrderedDict({'max_depth': 25, 'min_samples_split': 11, 'n_estimators': 440})",0.314017610424796,0.0242782172530212,eq_hist,sift,sift,100.0,rf,stl10
"OrderedDict({'max_depth': 50, 'min_samples_split': 9, 'n_estimators': 291})",0.2920195644746543,0.0230121782563269,32,dense_hist,sift,100.0,rf,stl10
"OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'distance'})",0.2880425335515156,0.0359071114934421,eq_hist,dense_hist,dense,50.0,knn,stl10
"OrderedDict({'n_neighbors': 26, 'p': 1, 'weights': 'distance'})",0.2799655943368518,0.0246049155431799,eq_hist,none,none,,knn,stl10
"OrderedDict({'n_neighbors': 133, 'p': 1, 'weights': 'distance'})",0.2650135165105225,0.0145976502677319,eq_hist,sift,sift,200.0,knn,stl10
"OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'distance'})",0.2419874964785144,0.0161255254176974,eq_hist,dense_hist,sift,50.0,knn,stl10
"OrderedDict({'max_depth': 26, 'min_samples_split': 20, 'n_estimators': 468})",0.2199906052979516,0.0146281708105201,32,dense_hist,dense,100.0,rf,mammals
"OrderedDict({'n_neighbors': 94, 'p': 1, 'weights': 'distance'})",0.2029930980455717,0.0115211318004751,eq_hist,dense_hist,dense,200.0,knn,mammals
"OrderedDict({'max_depth': 42, 'min_samples_split': 2, 'n_estimators': 396})",0.2014878446662554,0.0184616883272045,32,dense_hist,sift,100.0,rf,mammals
"OrderedDict({'max_depth': 25, 'min_samples_split': 11, 'n_estimators': 440})",0.1960018489253871,0.0026854562844337,32,none,none,,rf,mammals
"OrderedDict({'max_depth': 19, 'min_samples_split': 15, 'n_estimators': 421})",0.1880005942974458,0.0098290615452528,eq_hist,sift,dense,200.0,rf,mammals
"OrderedDict({'n_neighbors': 72, 'p': 1, 'weights': 'distance'})",0.1859873366619993,0.0179191206234975,eq_hist,dense_hist,sift,200.0,knn,mammals
"OrderedDict({'max_depth': 39, 'min_samples_split': 4, 'n_estimators': 341})",0.1729975852914383,0.0050147926171998,32,sift,sift,50.0,rf,mammals
"OrderedDict({'n_neighbors': 143, 'p': 1, 'weights': 'distance'})",0.171493082287685,0.0186803687689754,eq_hist,sift,dense,200.0,knn,mammals
"OrderedDict({'n_neighbors': 137, 'p': 1, 'weights': 'distance'})",0.1474990732861797,0.0017933483023658,eq_hist,sift,sift,50.0,knn,mammals
"OrderedDict({'n_neighbors': 133, 'p': 1, 'weights': 'distance'})",0.1359973166569868,0.0066891933159997,eq_hist,none,none,,knn,mammals
