params,mean_test_score,std_test_score,dataset,norm_type,colour
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4639775235801726,0.01672299149588572,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.018660823350927957, 'optim__momentum': 0.12409829164845014})",0.46297411198073446,0.009595049639078397,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.46036524182219546,0.006339782861300934,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.005184029607291801, 'optim__momentum': 0.047713115029855285})",0.4565522777443307,0.025563178268402324,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.021691126100538676, 'optim__momentum': 0.0})",0.4511338551073651,0.01822345749106399,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.43387517559702987,0.014501988171896173,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.432269717037929,0.012348079520702522,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.43106562311860325,0.00897029766752037,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 26, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.42584788280152513,0.016902646348982996,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.3987557696166968,0.0011352306340542686,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.3849086895444511,0.010078169399550235,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3780854906682721,0.012809129758966847,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.36002408187838647,0.04725972765030792,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.35039133052378085,0.016821440569693653,mammals,32,
