params,mean_test_score,std_test_score,dataset,norm_type,colour,classifier
"OrderedDict({'batch_size': 4, 'epochs': 25, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.013011517189579307, 'optim__momentum': 0.891626593190578})",0.5711418824001605,0.009148120666298621,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.544651816174995,0.06440558194215013,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.5346177001806142,0.015238647807802196,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.5065221753963476,0.03388026360549904,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.5051173991571343,0.03846510016848472,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.5027092113184829,0.006613388341675347,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4880594019666868,0.1820747235775419,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.4720048163756773,0.06292662868157366,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.4712020870961268,0.011320332952976487,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.4489263495886013,0.0302478256058942,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.354003612281758,0.007438793093658681,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.32630945213726675,0.009183272075976365,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.3136664659843467,0.004199969804626994,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 18, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.014878577253976889, 'optim__momentum': 0.99})",0.20148504916716836,0.022442349683233824,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 2, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.03891687876868432, 'optim__momentum': 0.9318444705497969})",0.16616496086694763,0.016799879218508004,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 25, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.09937432892414721, 'optim__momentum': 0.99})",0.04515352197471403,0.005539704492009736,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0025801644084226085, 'optim__momentum': 0.7293148356058065})",0.2933975516756973,0.010818247619461,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.2827613887216536,0.0076838008103859,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.2628938390527794,0.0187334553965321,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 25, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.009914195747884375, 'optim__momentum': 0.11489853718313195})",0.2602849688942404,0.0129715935068772,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.2508528998595223,0.0165194586612536,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.01987732073526173, 'optim__momentum': 0.1773383400517703})",0.2418221954645796,0.0190151131204088,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.235801725867951,0.0101498443639588,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.2249648805940196,0.0156403514095113,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 8, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.17559109160237252})",0.1862331928557094,0.0186299786719248,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.1236203090507726,0.0203294260680378,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.116596427854706,0.0102328306514003,mammals,32,rgb,classic_cnn
