params,mean_test_score,std_test_score,norm_type,descriptor_algo,keypoints_algo,k,classifier,dataset
"OrderedDict({'n_neighbors': 32, 'p': 2, 'weights': 'distance'})",0.25902848956741176,0.023582370030476328,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 140, 'p': 1, 'weights': 'uniform'})",0.2579975184765604,0.008759349295754124,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 144, 'p': 1, 'weights': 'uniform'})",0.2550035065005125,0.006612328301909161,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 144, 'p': 1, 'weights': 'uniform'})",0.2550035065005125,0.006612328301909161,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 108, 'p': 1, 'weights': 'uniform'})",0.2520244795693897,0.017309669516018172,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 133, 'p': 1, 'weights': 'distance'})",0.2509935084785384,0.009732273436225134,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 168, 'p': 1, 'weights': 'distance'})",0.2499985014955075,0.0050170539117261,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 46, 'p': 2, 'weights': 'distance'})",0.24300947654241067,0.02898261223058794,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 70, 'p': 2, 'weights': 'distance'})",0.24101646556736378,0.012633508079767871,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 126, 'p': 1, 'weights': 'uniform'})",0.23900547253840668,0.009413902437385229,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 194, 'p': 1, 'weights': 'distance'})",0.23700347053640466,0.0066028345517854005,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 10, 'p': 2, 'weights': 'distance'})",0.23602045158931387,0.016224731583227014,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 177, 'p': 1, 'weights': 'uniform'})",0.22400843957730185,0.009472137812196593,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 95, 'p': 2, 'weights': 'distance'})",0.22301642960325596,0.015203888317086899,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 12, 'p': 2, 'weights': 'uniform'})",0.2190004375633118,0.0049136343903513355,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'n_neighbors': 142, 'p': 2, 'weights': 'distance'})",0.21002139864415312,0.02777652988522799,eq_hist,dense_hist,dense,200.0,knn,stl10
"OrderedDict({'max_depth': 34, 'min_samples_split': 4, 'n_estimators': 321})",0.3350356344368321,0.025227158949719,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 49, 'min_samples_split': 10, 'n_estimators': 319})",0.3340106573639508,0.0210133018996916,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 40, 'min_samples_split': 17, 'n_estimators': 341})",0.3280166393938848,0.0294259901334875,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 42, 'min_samples_split': 2, 'n_estimators': 396})",0.3280106453759148,0.0143861900719004,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 500})",0.3250166333998669,0.0188352765955725,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 25, 'min_samples_split': 11, 'n_estimators': 440})",0.3250046453639268,0.0247384620663697,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 37, 'min_samples_split': 9, 'n_estimators': 354})",0.3240156323988659,0.0193957136673818,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 19, 'min_samples_split': 15, 'n_estimators': 421})",0.3240036443629258,0.0258740348171054,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 331})",0.3189986393579208,0.0122974031419077,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 10, 'min_samples_split': 14, 'n_estimators': 332})",0.3160136184088279,0.0229586330546769,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 37, 'min_samples_split': 3, 'n_estimators': 220})",0.312012611413809,0.0115599325840345,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 37, 'min_samples_split': 9, 'n_estimators': 104})",0.3030125934317551,0.0171967994275204,eq_hist,dense_hist,dense,200.0,rf,stl10
"OrderedDict({'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 500})",0.3030006053958149,0.0073682707783214,eq_hist,dense_hist,dense,200.0,rf,stl10
